"Date","Price","Change_Price","Change_Percent","Prev_Close","Open","VWAP","Intraday_Low","Intraday_High"
2021-11-22 12:08:00,2386,-13.4000000000001,-0.55847295157123,2399.4,2409.4,2388.64,2377.15,2409.9
2021-11-22 12:09:00,2386.85,-12.5500000000002,-0.523047428523805,2399.4,2409.4,2388.63,2377.15,2409.9
2021-11-22 12:10:00,2386.3,-13.0999999999999,-0.545969825789777,2399.4,2409.4,2388.6,2377.15,2409.9
2021-11-22 12:11:00,2389.5,-9.90000000000009,-0.412603150787701,2399.4,2409.4,2388.6,2377.15,2409.9
2021-11-22 12:12:00,2388.45,-10.9500000000003,-0.456364091022767,2399.4,2409.4,2388.6,2377.15,2409.9
2021-11-22 12:13:00,2388,-11.4000000000001,-0.475118779694928,2399.4,2409.4,2388.6,2377.15,2409.9
2021-11-22 12:14:00,2388.25,-11.1500000000001,-0.46469950821039,2399.4,2409.4,2388.6,2377.15,2409.9
2021-11-22 12:15:00,2388.55,-10.8499999999999,-0.452196382428937,2399.4,2409.4,2388.6,2377.15,2409.9
2021-11-22 12:16:00,2389,-10.4000000000001,-0.433441693756776,2399.4,2409.4,2388.6,2377.15,2409.9
2021-11-22 12:17:00,2387.05,-12.3499999999999,-0.514712011336164,2399.4,2409.4,2388.59,2377.15,2409.9
2021-11-22 12:18:00,2388.35,-11.0500000000002,-0.460531799616578,2399.4,2409.4,2388.59,2377.15,2409.9
2021-11-22 12:19:00,2386.1,-13.3000000000002,-0.554305242977419,2399.4,2409.4,2388.59,2377.15,2409.9
2021-11-22 12:20:00,2385.55,-13.8499999999999,-0.57722764024339,2399.4,2409.4,2388.59,2377.15,2409.9
2021-11-22 12:21:00,2385.1,-14.3000000000002,-0.59598232891557,2399.4,2409.4,2388.58,2377.15,2409.9
2021-11-22 12:22:00,2387,-12.4000000000001,-0.516795865633079,2399.4,2409.4,2388.57,2377.15,2409.9
2021-11-22 12:23:00,2385.5,-13.9000000000001,-0.579311494540306,2399.4,2409.4,2388.57,2377.15,2409.9
2021-11-22 12:24:00,2384.55,-14.8499999999999,-0.618904726181542,2399.4,2409.4,2388.57,2377.15,2409.9
2021-11-22 12:25:00,2382.75,-16.6500000000001,-0.693923480870221,2399.4,2409.4,2388.55,2377.15,2409.9
2021-11-22 12:26:00,2383.95,-15.4500000000003,-0.643910977744447,2399.4,2409.4,2388.53,2377.15,2409.9
2021-11-22 12:27:00,2384,-15.4000000000001,-0.641827123447532,2399.4,2409.4,2388.51,2377.15,2409.9
2021-11-22 12:28:00,2382.85,-16.5500000000002,-0.68975577227641,2399.4,2409.4,2388.51,2377.15,2409.9
2021-11-22 12:29:00,2382.7,-16.7000000000003,-0.696007335167136,2399.4,2409.4,2388.48,2377.15,2409.9
2021-11-22 12:30:00,2384.35,-15.0500000000002,-0.627240143369183,2399.4,2409.4,2388.47,2377.15,2409.9
2021-11-22 12:31:00,2383.7,-15.7000000000003,-0.654330249228985,2399.4,2409.4,2388.46,2377.15,2409.9
2021-11-22 12:32:00,2384.2,-15.2000000000003,-0.63349170625991,2399.4,2409.4,2388.45,2377.15,2409.9
2021-11-22 12:33:00,2382.65,-16.75,-0.698091189464033,2399.4,2409.4,2388.42,2377.15,2409.9
2021-11-22 12:34:00,2384.45,-14.9500000000003,-0.623072434775372,2399.4,2409.4,2388.39,2377.15,2409.9
2021-11-22 12:35:00,2386.5,-12.9000000000001,-0.537634408602154,2399.4,2409.4,2388.33,2377.15,2409.9
2021-11-22 12:36:00,2387,-12.4000000000001,-0.516795865633079,2399.4,2409.4,2388.31,2377.15,2409.9
2021-11-22 12:37:00,2387.8,-11.5999999999999,-0.48345419688255,2399.4,2409.4,2388.31,2377.15,2409.9
2021-11-22 12:38:00,2389,-10.4000000000001,-0.433441693756776,2399.4,2409.4,2388.31,2377.15,2409.9
2021-11-22 12:39:00,2390,-9.40000000000009,-0.391764607818625,2399.4,2409.4,2388.32,2377.15,2409.9
2021-11-22 12:40:00,2390,-9.40000000000009,-0.391764607818625,2399.4,2409.4,2388.32,2377.15,2409.9
2021-11-22 12:41:00,2389.7,-9.70000000000027,-0.404267733600078,2399.4,2409.4,2388.45,2377.15,2409.9
2021-11-22 12:42:00,2388.05,-11.3499999999999,-0.473034925398012,2399.4,2409.4,2388.45,2377.15,2409.9
2021-11-22 12:43:00,2389.45,-9.95000000000027,-0.414687005084616,2399.4,2409.4,2388.45,2377.15,2409.9
2021-11-22 12:44:00,2388.5,-10.9000000000001,-0.454280236725852,2399.4,2409.4,2388.45,2377.15,2409.9
2021-11-22 12:45:00,2390,-9.40000000000009,-0.391764607818625,2399.4,2409.4,2388.45,2377.15,2409.9
2021-11-22 12:46:00,2389.85,-9.55000000000018,-0.398016170709352,2399.4,2409.4,2388.46,2377.15,2409.9
2021-11-22 12:47:00,2388.2,-11.2000000000003,-0.466783362507305,2399.4,2409.4,2388.45,2377.15,2409.9
2021-11-22 12:48:00,2388.85,-10.5500000000002,-0.439693256647503,2399.4,2409.4,2388.45,2377.15,2409.9
2021-11-22 12:49:00,2388.65,-10.75,-0.448028673835125,2399.4,2409.4,2388.45,2377.15,2409.9
2021-11-22 12:50:00,2386.5,-12.9000000000001,-0.537634408602154,2399.4,2409.4,2388.45,2377.15,2409.9
2021-11-22 12:52:00,2388.75,-10.6500000000001,-0.443860965241314,2399.4,2409.4,2388.45,2377.15,2409.9
2021-11-22 12:53:00,2386,-13.4000000000001,-0.55847295157123,2399.4,2409.4,2388.43,2377.15,2409.9
2021-11-22 12:54:00,2387,-12.4000000000001,-0.516795865633079,2399.4,2409.4,2388.35,2377.15,2409.9
2021-11-22 12:55:00,2387.05,-12.3499999999999,-0.514712011336164,2399.4,2409.4,2388.35,2377.15,2409.9
2021-11-22 12:56:00,2385.55,-13.8499999999999,-0.57722764024339,2399.4,2409.4,2388.33,2377.15,2409.9
2021-11-22 12:57:00,2390,-9.40000000000009,-0.391764607818625,2399.4,2409.4,2388.33,2377.15,2409.9
2021-11-22 12:58:00,2390.05,-9.34999999999991,-0.38968075352171,2399.4,2409.4,2388.35,2377.15,2409.9
2021-11-22 12:59:00,2390.2,-9.20000000000027,-0.383429190631002,2399.4,2409.4,2388.35,2377.15,2409.9
2021-11-22 13:00:00,2390.3,-9.09999999999991,-0.379261482037172,2399.4,2409.4,2388.36,2377.15,2409.9
2021-11-22 13:01:00,2390.9,-8.5,-0.354255230474285,2399.4,2409.4,2388.36,2377.15,2409.9
2021-11-22 13:02:00,2390.6,-8.80000000000018,-0.366758356255738,2399.4,2409.4,2388.37,2377.15,2409.9
2021-11-22 13:03:00,2395.45,-3.95000000000027,-0.164624489455709,2399.4,2409.4,2388.43,2377.15,2409.9
2021-11-22 13:04:00,2395.9,-3.5,-0.145869800783529,2399.4,2409.4,2388.46,2377.15,2409.9
2021-11-22 13:05:00,2396.05,-3.34999999999991,-0.139618237892803,2399.4,2409.4,2388.47,2377.15,2409.9
2021-11-22 13:06:00,2395.2,-4.20000000000027,-0.175043760940246,2399.4,2409.4,2388.51,2377.15,2409.9
2021-11-22 13:07:00,2395.2,-4.20000000000027,-0.175043760940246,2399.4,2409.4,2388.54,2377.15,2409.9
2021-11-22 13:08:00,2395.25,-4.15000000000009,-0.172959906643331,2399.4,2409.4,2388.55,2377.15,2409.9
2021-11-22 13:09:00,2395.2,-4.20000000000027,-0.175043760940246,2399.4,2409.4,2388.56,2377.15,2409.9
2021-11-22 13:10:00,2395.1,-4.30000000000018,-0.179211469534058,2399.4,2409.4,2388.58,2377.15,2409.9
2021-11-22 13:11:00,2395.05,-4.34999999999991,-0.181295323830954,2399.4,2409.4,2388.6,2377.15,2409.9
2021-11-22 13:12:00,2395.05,-4.34999999999991,-0.181295323830954,2399.4,2409.4,2388.61,2377.15,2409.9
2021-11-22 13:13:00,2393.95,-5.45000000000027,-0.227140118362935,2399.4,2409.4,2388.64,2377.15,2409.9
2021-11-22 13:14:00,2394,-5.40000000000009,-0.22505626406602,2399.4,2409.4,2388.64,2377.15,2409.9
2021-11-22 13:15:00,2393.95,-5.45000000000027,-0.227140118362935,2399.4,2409.4,2388.65,2377.15,2409.9
2021-11-22 13:16:00,2394.35,-5.05000000000018,-0.210469283987671,2399.4,2409.4,2388.65,2377.15,2409.9
2021-11-22 13:17:00,2391.5,-7.90000000000009,-0.329248978911398,2399.4,2409.4,2388.66,2377.15,2409.9
2021-11-22 13:18:00,2391,-8.40000000000009,-0.350087521880474,2399.4,2409.4,2388.66,2377.15,2409.9
2021-11-22 13:19:00,2390.9,-8.5,-0.354255230474285,2399.4,2409.4,2388.67,2377.15,2409.9
2021-11-22 13:20:00,2390,-9.40000000000009,-0.391764607818625,2399.4,2409.4,2388.67,2377.15,2409.9
2021-11-22 13:21:00,2390.15,-9.25,-0.385513044927899,2399.4,2409.4,2388.67,2377.15,2409.9
2021-11-22 13:22:00,2390.4,-9,-0.375093773443361,2399.4,2409.4,2388.67,2377.15,2409.9
2021-11-22 13:23:00,2390.35,-9.05000000000018,-0.377177627740276,2399.4,2409.4,2388.67,2377.15,2409.9
2021-11-22 13:24:00,2390.7,-8.70000000000027,-0.362590647661927,2399.4,2409.4,2388.67,2377.15,2409.9
2021-11-22 13:25:00,2390.1,-9.30000000000018,-0.387596899224814,2399.4,2409.4,2388.68,2377.15,2409.9
