"Stock_Symbol","Stock_Name","Timestamp","Open","High","Low","Close","Volume"
"GS","Goldman Sachs Group, Inc.","2021-08-27 09:15:00",413.5,413.5,413.5,413.5,103
"NOK","Nokia Corporation","2021-09-10 16:30:00",5.85,5.85,5.83,5.85,5547
"HPQ","Hewlett-Packard Company","2021-08-23 07:15:00",28.36,28.36,28.35,28.35,1100
"JPM","J.P. Morgan Chase & Co.","2021-08-31 16:30:00",160.28,160.29,159.95,159.95,2759
"HPQ","Hewlett-Packard Company","2021-08-31 08:45:00",29.74,29.74,29.74,29.74,400
"WIT","Wipro Limited","2021-08-30 09:45:00",9.14,9.155,9.13,9.1494,108487
"JNJ","Johnson & Johnson","2021-09-10 16:30:00",167.12,167.12,166.97,166.97,983
"ORCL","Oracle Corporation","2021-09-03 15:15:00",90.21,90.2299,90.1,90.15,253714
"XOM","Exxon Mobil Corporation","2021-08-24 10:30:00",55.41,55.44,55.23,55.42,570953
"AMZN","Amazon.com Inc.","2021-09-14 16:15:00",3450,3453,3450,3450.32,45008
"PFE","Pfizer Inc.","2021-08-19 05:00:00",48.63,48.66,48.57,48.57,9976
"PFE","Pfizer Inc.","2021-08-30 13:45:00",46.8657,46.9267,46.8223,46.9071,485503
"AXP","American Express Company","2021-08-23 07:15:00",160.52,160.52,160.52,160.52,137
"GE","General Electric Company","2021-08-19 19:45:00",99.46,99.46,99.45,99.45,2253
"GS","Goldman Sachs Group, Inc.","2021-09-13 10:00:00",405.72,407.77,405.19,406.9283,113495
"GS","Goldman Sachs Group, Inc.","2021-09-13 16:00:00",408.21,409.37,408.14,409.32,175694
"CSCO","Cisco Systems Inc","2021-09-13 10:30:00",58.17,58.21,57.99,58.03,362339
"BAC","Bank of America Corporation","2021-08-31 07:45:00",41.5771,41.5771,41.5175,41.5274,6886
"JPM","J.P. Morgan Chase & Co.","2021-08-20 10:45:00",154.07,154.34,153.52,153.5859,272805
"TM","Toyota Motor Corporation","2021-08-19 16:00:00",168.815,168.815,168.45,168.57,39947
"NOK","Nokia Corporation","2021-09-02 19:00:00",6.05,6.05,6.05,6.05,1000
"DELL","Dell Inc.","2021-08-27 11:45:00",96.77,97.12,96.26,96.37,198248
"HPQ","Hewlett-Packard Company","2021-08-18 12:00:00",28.575,28.585,28.545,28.555,120626
"AAPL","Apple Computer, Inc.","2021-09-08 18:15:00",155.1,155.11,155.04,155.07,16424
"WIT","Wipro Limited","2021-08-23 05:00:00",9,9,8.99,8.99,1000
"TM","Toyota Motor Corporation","2021-09-07 13:00:00",181.28,181.3,181.13,181.21,4114
"CSCO","Cisco Systems Inc","2021-08-18 15:45:00",55.36,55.43,55.19,55.3923,950058
"HPQ","Hewlett-Packard Company","2021-08-24 14:15:00",28.83,28.86,28.825,28.85,191331
"ORCL","Oracle Corporation","2021-08-26 08:30:00",88.73,88.73,88.62,88.625,1532
"MSFT","Microsoft Corporation","2021-09-08 12:00:00",298.13,298.4302,297.79,298.18,374006
"HPQ","Hewlett-Packard Company","2021-08-19 14:00:00",27.7,27.71,27.645,27.645,166264
"NOK","Nokia Corporation","2021-09-02 10:00:00",6.04,6.05,6.02,6.04,906138
"BCS","Barclays Plc","2021-09-01 09:15:00",10.3,10.31,10.3,10.3,2003
"GE","General Electric Company","2021-08-31 11:00:00",105.5,105.8,105.33,105.41,619293
"HPQ","Hewlett-Packard Company","2021-08-19 10:45:00",27.945,27.975,27.75,27.755,341047
"GE","General Electric Company","2021-08-24 12:45:00",103.06,103.35,103.06,103.29,438276
"AXP","American Express Company","2021-09-13 13:15:00",160.84,161.16,160.77,161,44752
"JPM","J.P. Morgan Chase & Co.","2021-08-18 09:00:00",156.69,156.69,156.69,156.69,150
"AXP","American Express Company","2021-08-23 09:30:00",161.25,161.35,160.5,160.55,924
